Designator,Mid X,Mid Y,Rotation,Layer
C1,82.65,-41.7875,270.0,top
C10,79.6,-27.0,270.0,top
C11,76.2,-27.0,270.0,top
C12,67.28859,-20.730177,90.0,top
C13,69.4,-31.532323,270.0,top
C14,96.15,-67.2,0.0,top
C15,79.25,-67.2,180.0,top
C16,90.0,-57.75,0.0,top
C17,90.0,-50.55,0.0,top
C18,90.0,-52.95,0.0,top
C19,90.0,-55.35,0.0,top
C2,74.35,-40.6875,90.0,top
C20,49.4,-65.4,0.0,top
C21,37.8,-57.3375,90.0,top
C22,51.6,-76.8,180.0,top
C23,40.8,-56.4,0.0,top
C24,38.0,-70.6,90.0,top
C25,48.0625,-72.8,0.0,top
C26,30.75,-81.6625,270.0,top
C27,37.15,-81.8,270.0,top
C28,31.2,-38.375,0.0,top
C29,34.645,-38.375,180.0,top
C3,71.85,-46.425,0.0,top
C30,38.7,-41.5,270.0,top
C31,38.7,-45.0,90.0,top
C32,81.95,-45.3875,0.0,top
C4,79.15,-40.6875,90.0,top
C5,71.8625,-43.25,0.0,top
C6,71.8375,-41.65,180.0,top
C7,74.58859,-19.2,90.0,top
C8,78.0,-19.2,90.0,top
C9,81.38859,-19.2,90.0,top
D1,23.3,-29.2,90.0,top
D10,18.125,-69.4,0.0,top
D11,18.125,-71.0,0.0,top
D12,18.125,-72.6,0.0,top
D13,61.6,-81.6,90.0,top
D14,60.0,-81.6,90.0,top
D15,63.2,-81.6,90.0,top
D16,23.8,-81.4875,90.0,top
D17,25.4,-81.4875,90.0,top
D18,44.2,-81.4875,90.0,top
D19,45.8,-81.4875,90.0,top
D2,23.3,-37.75,90.0,top
D20,47.4,-81.4875,90.0,top
D21,49.0,-81.4875,90.0,top
D3,23.3,-46.3,90.0,top
D4,23.3,-54.85,90.0,top
D5,18.125,-60.0,0.0,top
D6,18.125,-61.6,0.0,top
D7,18.125,-63.2,0.0,top
D8,18.125,-64.8,0.0,top
D9,18.125,-67.8,0.0,top
IC1,78.3,-45.1375,0.0,top
IC2,42.6,-70.8,0.0,top
J1,19.2,-27.1,270.0,top
J10,19.2,-52.75,270.0,top
J11,50.945,-20.8,270.0,top
J12,44.025,-20.8,270.0,top
J13,37.1,-20.8,270.0,top
J14,58.0,-21.0,270.0,top
J15,30.125,-20.8,270.0,top
J2,19.2,-35.65,270.0,top
J3,89.0,-87.5,0.0,top
J4,70.0,-87.7,0.0,top
J5,29.6,-75.15,0.0,bottom
J6,43.2,-75.15,0.0,bottom
J7,55.6,-79.01,0.0,top
J8,25.05,-65.4,90.0,bottom
J9,19.2,-44.2,270.0,top
L1,90.4,-31.2,90.0,top
Q1,24.1,-24.7,0.0,top
Q2,24.1,-33.25,0.0,top
Q3,86.6,-45.65,180.0,top
Q4,93.2,-44.8,90.0,top
Q5,24.1,-41.8,0.0,top
Q6,24.1,-50.35,0.0,top
R1,38.4,-51.4,180.0,top
R10,71.8375,-44.85,0.0,top
R11,74.4,-45.9,270.0,top
R12,69.3375,-45.75,270.0,top
R13,76.5,-48.4875,0.0,top
R14,69.3375,-42.35,270.0,top
R15,81.0375,-41.775,90.0,top
R16,47.6,-67.2,180.0,top
R17,34.0,-72.0,180.0,top
R18,38.4,-53.0,180.0,top
R19,25.3,-45.3,90.0,top
R2,38.4125,-49.6,180.0,top
R20,26.9,-45.3,90.0,top
R21,38.4,-54.6,180.0,top
R22,25.3,-53.85,90.0,top
R23,26.9,-53.85,90.0,top
R24,49.0,-47.4,0.0,top
R25,49.0,-45.8,0.0,top
R26,49.0,-44.2,0.0,top
R27,48.6,-27.2,0.0,top
R28,45.2,-27.2,180.0,top
R29,41.8,-27.2,0.0,top
R3,25.3,-28.2,90.0,top
R30,38.4,-27.2,0.0,top
R31,49.0,-49.0,0.0,top
R32,21.525,-60.0,180.0,top
R33,21.525,-61.6,180.0,top
R34,21.525,-63.2,180.0,top
R35,21.525,-64.8,180.0,top
R36,21.525,-67.8,180.0,top
R37,21.525,-69.4,180.0,top
R38,21.525,-71.0,180.0,top
R39,21.525,-72.6,180.0,top
R4,25.3,-36.75,90.0,top
R40,61.6,-78.2,270.0,top
R41,60.0,-78.2,270.0,top
R42,63.2,-78.2,270.0,top
R43,23.8,-78.0875,270.0,top
R44,25.4,-78.0875,270.0,top
R45,44.2,-78.0875,270.0,top
R46,45.8,-78.0875,270.0,top
R47,47.4,-78.0875,270.0,top
R48,49.0,-78.0875,270.0,top
R5,26.9,-28.2,90.0,top
R6,26.9,-36.75,90.0,top
R7,79.95,-48.4875,0.0,top
R8,77.55,-40.6875,270.0,top
R9,75.95,-40.6875,90.0,top
SW1,51.6,-83.25,0.0,top
U1,32.2,-50.1,90.0,top
U3,42.4,-62.5,90.0,top
U4,33.95,-81.8,180.0,top
U6,32.92,-31.16,90.0,top
U8,42.4,-43.3,0.0,top
